Driver,Sex,Age,car 1,car 2,car 3,car 4,car 5,car 6,car 7,car 8,car 9,car 10,Favorite Color
Yes,Male,>35,10000,55000,25000,12000,40000,2500,25000,8000,8000,20000,None
No,Female,30-35,10000,20000,20000,15000,15000,13000,15000,13000,12000,20000,Red
Yes,Male,18-23,12000,20000,18000,17000,18000,10000,20000,6000,7500,30000,Black
Yes,Male,30-35,8000,45000,25000,16000,23000,9000,18000,5000,6500,30000,None
No,Male,24-29,13000,45000,30000,9000,11000,15000,20000,6000,8000,20000,Black
Yes,Male,24-29,25000,30000,45000,9000,11000,22000,30000,6000,9000,40000,Black
Yes,Male,24-29,7000,40000,20000,13000,14000,8000,18000,6000,7000,35000,Black
Yes,Male,24-29,9000,30000,25000,12000,15000,10000,15000,6000,8000,30000,Gray
Yes,Male,24-29,9000,21000,18000,12000,15000,17000,20000,5000,6000,32000,Gray
Yes,Male,24-29,10000,25000,50000,12000,10000,13000,15000,5000,6000,18000,Black
Yes,Male,30-35,8000,24000,17000,7000,8000,7500,16000,5500,6500,25000,None
Yes,Male,>35,15000,35000,24000,18000,18000,22000,17000,15000,16000,20000,Gray
Yes,Male,18-23,8000,20000,25000,10000,12000,12000,15000,6000,7000,18000,Gray
Yes,Male,30-35,9500,44000,12000,13000,19000,7000,13000,5500,6700,35000,Red
Yes,Male,18-23,8000,35000,16000,14000,24000,7500,35000,5400,6000,23000,Red
Yes,Male,30-35,9000,15000,20000,6500,8000,15000,19000,6000,6000,30000,Red
No,Female,18-23,10000,15000,13000,9000,10000,11000,12000,5000,9000,15000,Black
No,Female,24-29,8000,50000,18000,8000,16000,10000,13000,6000,6000,35000,Black
Yes,Male,18-23,14000,30000,30000,9000,11000,14000,18000,7500,6000,18000,Gray
Yes,Female,30-35,4000,15000,20000,4000,10000,15000,25000,4000,6000,15000,Gray
No,Female,24-29,8000,35000,15000,10000,25000,7500,15000,5500,7000,25000,Black
Yes,Male,30-35,8000,18000,12000,15000,17000,9000,10000,6000,6000,21000,Black
Yes,Male,24-29,10000,20000,20000,6000,7000,7000,15000,6000,6000,14000,Black
Yes,Male,30-35,7000,60000,65000,15000,15000,35000,42000,8000,9000,45000,None
Yes,Male,>35,11000,35000,22000,9500,15500,13500,15500,6700,8100,27000,Black
